owner_acronym,source_year,total_entries,original_contract_entries,amendment_entries,most_recent_entries,original_entries_sum,most_recent_entries_sum
cnsc,2006,327,327,0,327,10730054.34,10730054.34
cnsc,2007,362,361,1,361,13383817.09,13383933.49
cnsc,2008,387,386,1,385,16827063.89,16715396.39
cnsc,2009,465,465,0,452,17254816.22,16354223.34
cnsc,2010,487,440,47,427,18702410.22,19718003.99
cnsc,2011,287,244,43,253,12006720.41,11938427.33
cnsc,2012,330,298,32,286,13710079.12,11753477.14
cnsc,2013,305,250,55,240,12014063.72,9563683.52
cnsc,2014,277,224,53,214,14014209.52,9308120.70
cnsc,2015,207,158,49,168,9121851.63,8948507.88
cnsc,2016,237,179,58,168,12345334.93,11224351.69
cnsc,2017,247,162,85,185,10980348.93,18316261.14
cnsc,2018,143,104,39,132,8182335.49,16947238.26
cpc,2016,15,15,0,11,907566.74,623688.21
cpc,2017,50,46,4,45,1983795.78,1578069.90
cpc,2018,30,25,5,30,631528.06,1604830.61
cra,2001,6,6,0,2,1176334.85,62303.85
cra,2002,9,7,2,7,27510934.28,28021441.80
cra,2003,23,17,6,7,107811133.58,86038279.84
cra,2004,2751,2713,38,2695,272019620.69,262993709.42
cra,2005,2642,2525,117,2434,292261586.78,233403162.39
cra,2006,2890,2655,235,2538,519679911.61,479694776.40
cra,2007,3036,2532,504,2347,392918836.34,254903129.83
cra,2008,2648,2121,527,1947,286632514.75,247794711.31
cra,2009,2334,1734,600,1778,144937143.94,229079624.75
cra,2010,2743,1843,900,1898,340919575.97,334417829.27
cra,2011,2847,1801,1046,2267,370520209.89,881048237.50
cra,2012,1574,1126,448,1097,145591512.00,151969681.14
cra,2013,1208,923,285,857,99567041.40,88754500.81
cra,2014,1023,855,168,758,80246494.76,63938546.97
cra,2015,532,501,31,384,54789582.66,29881028.82
cra,2016,1456,936,520,745,130987343.30,180661200.37
cra,2017,1428,684,744,897,96352135.54,186573575.22
cra,2018,711,346,365,594,54132366.04,206163205.11
crtc,2016,26,26,0,24,3323846.77,776903.78
crtc,2017,141,139,2,138,12183586.64,13249431.85
crtc,2018,72,67,5,70,8913117.77,9181760.83
csa,2008,571,571,0,570,216462548.15,207432549.20
csa,2009,556,556,0,555,131017271.96,130354605.41
csa,2010,481,481,0,480,85129339.99,84869578.53
csa,2011,414,414,0,414,51643820.57,51643820.57
csa,2012,332,332,0,329,799028750.44,56527461.19
csa,2013,312,312,0,307,115206229.09,21536900.39
csa,2014,355,355,0,343,68750576.67,61448455.09
csa,2015,323,323,0,272,71731399.14,35781468.34
csa,2016,410,358,52,311,237601167.45,46457387.76
csa,2017,479,323,156,393,506731373.18,104674892.96
csa,2018,185,124,61,173,18668720.50,1854432440.50
csc,2006,2,1,1,1,2075000.00,2075000.00
csc,2007,1,1,0,1,344587.00,344587.00
csc,2008,16,11,5,11,11708350.00,11905238.00
csc,2009,85,56,29,56,88092823.00,88926562.00
csc,2010,139,94,45,94,77319568.00,81549018.00
csc,2011,262,168,94,163,141921732.00,141451324.00
csc,2012,389,240,149,242,146643860.00,158096810.00
csc,2013,1427,1252,175,1251,164290173.00,173670035.00
csc,2014,3200,2834,366,2831,259719412.00,294300855.00
csc,2015,3447,3254,193,3222,215383652.00,219451321.00
csc,2016,4066,3599,467,3101,585480811.68,303665457.81
csc,2017,4538,3682,856,3702,382393434.33,498217465.80
csc,2018,3507,2667,840,3184,220772333.88,774574936.23
csps,2012,104,103,1,101,5498537.86,3654802.03
csps,2013,162,157,5,154,7729241.72,7647664.22
csps,2014,159,153,6,153,8563208.36,8064799.70
csps,2015,116,110,6,104,11892171.56,11687793.11
csps,2016,105,95,10,95,4230348.54,9717869.61
csps,2017,79,65,14,63,2679214.19,2906940.92
csps,2018,94,76,18,89,3039441.71,6738560.59
cta,2015,22,22,0,18,1926156.43,855006.08
cta,2016,54,37,17,26,1763923.31,2213706.07
cta,2017,80,55,25,50,2221973.80,2531561.50
cta,2018,71,40,31,58,1450089.04,2995652.42
dfo,2010,7101,5897,1204,5315,600014815.26,479454498.66
dfo,2011,6675,5031,1644,5019,362976390.00,402621175.83
dfo,2012,6315,4814,1501,4861,314426935.91,377892114.90
dfo,2013,5741,4427,1314,4517,296295125.17,348207294.10
dfo,2014,5896,4633,1263,4512,639813974.05,555478332.05
dfo,2015,4644,3516,1128,3634,882466135.59,516398543.32
dfo,2016,7722,6231,1491,6074,697766422.64,583204024.49
dfo,2017,7089,5828,1261,5843,744062532.58,653141170.52
dfo,2018,4718,3893,825,4242,630515561.39,3839735484.75
dnd,1999,2,2,0,0,60657.00,0.00
dnd,2002,4,4,0,2,6500813.93,59800.00
dnd,2003,186,186,0,186,38833585.90,38833585.90
dnd,2004,8830,8816,14,8737,7796834781.96,1809907515.59
dnd,2005,7185,7087,98,6947,4818990921.29,1833063609.81
dnd,2006,4431,4280,151,4230,1070119636.79,913190754.28
dnd,2007,8620,8580,40,8166,4621659008.35,3194081885.94
