owner_acronym,source_fiscal,total_entries,total_contracts,total_amendments
ced,200809-Q4,49,49,0
ced,200910-Q1,35,35,0
ced,200910-Q2,38,38,0
ced,200910-Q3,38,37,1
ced,200910-Q4,36,36,0
ced,201011-Q1,36,36,0
ced,201011-Q2,46,43,3
ced,201011-Q3,34,27,7
ced,201011-Q4,34,31,3
ced,201112-Q1,47,44,3
ced,201112-Q2,11,9,2
ced,201112-Q3,25,22,3
ced,201112-Q4,26,24,2
ced,201213-Q1,16,15,1
ced,201213-Q2,18,17,1
ced,201213-Q3,18,18,0
ced,201213-Q4,22,20,2
ced,201314-Q1,27,22,5
ced,201314-Q2,19,18,1
ced,201314-Q3,19,16,3
ced,201314-Q4,15,13,2
ced,201415-Q1,9,8,1
ced,201415-Q2,15,13,2
ced,201415-Q3,12,9,3
ced,201415-Q4,23,21,2
ced,201516-Q1,19,12,7
ced,201516-Q2,8,7,1
ced,201516-Q3,8,6,2
ced,201516-Q4,24,21,3
ced,201617-Q1,15,10,5
ced,201617-Q2,11,9,2
ced,201617-Q3,26,24,2
ced,201617-Q4,29,25,4
ced,201718-Q1,15,14,1
ced,201718-Q2,9,8,1
ced,201718-Q3,11,8,3
ced,201718-Q4,26,23,3
ced,201819-Q1,15,12,3
ced,201819-Q2,6,4,2
ced,201819-Q3,6,5,1
cfia,201112-Q1,143,142,1
cfia,201112-Q2,139,134,5
cfia,201112-Q3,218,212,6
cfia,201213-Q1,131,125,6
cfia,201213-Q2,199,188,11
cfia,201213-Q3,266,232,34
cfia,201213-Q4,316,286,30
cfia,201314-Q1,154,143,11
cfia,201314-Q2,185,169,16
cfia,201314-Q3,244,210,34
cfia,201314-Q4,382,330,52
cfia,201415-Q1,119,106,13
cfia,201415-Q2,138,97,41
cfia,201415-Q3,161,135,26
cfia,201415-Q4,354,262,92
cfia,201516-Q1,136,109,27
cfia,201516-Q2,186,125,61
cfia,201516-Q3,155,114,41
cfia,201516-Q4,261,183,78
cfia,201617-Q1,140,108,32
cfia,201617-Q2,160,117,43
cfia,201617-Q3,209,155,54
cfia,201617-Q4,612,447,165
cfia,201718-Q1,129,84,45
cfia,201718-Q2,124,67,57
cfia,201718-Q3,189,149,40
cfia,201718-Q4,201,149,52
cfia,201819-Q1,160,111,49
cfia,201819-Q2,101,73,28
cfia,201819-Q3,169,136,33
cgc,201617-Q3,1,1,0
cgc,201617-Q4,41,41,0
cgc,201718-Q1,32,32,0
cgc,201718-Q2,41,40,1
cgc,201718-Q3,23,23,0
cgc,201718-Q4,28,27,1
