owner_acronym,source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
cihr,2017,113,65,48,1099721.73,6147984.24
cihr,2018,74,44,30,762839.04,3469727.36
cnsc,2004,291,218,73,4027152.37,4840424.63
cnsc,2005,317,210,107,3886635.74,6183874.18
cnsc,2006,327,215,112,3788302.16,6941752.18
cnsc,2007,361,230,131,4014195.89,9369621.20
cnsc,2008,386,248,138,4294240.79,12532823.10
cnsc,2009,465,308,157,5478605.60,11776210.62
cnsc,2010,440,269,171,5044068.61,13658341.61
cnsc,2011,244,137,107,2434703.81,9572016.60
cnsc,2012,298,170,128,3091877.76,10618201.36
cnsc,2013,250,147,103,2578386.97,9435676.75
cnsc,2014,224,126,98,2254900.41,11759309.11
cnsc,2015,158,88,70,1574524.32,7547327.31
cnsc,2016,179,87,92,1625619.84,10719715.09
cnsc,2017,162,77,85,1429126.87,9551222.06
cnsc,2018,104,57,47,1065210.19,7117125.30
cpc,2016,15,6,9,91528.36,816038.38
cpc,2017,46,31,15,617476.09,1366319.69
cpc,2018,25,21,4,418835.34,212692.72
cra,2001,6,2,4,43067.34,1133267.51
cra,2002,7,1,6,18928.75,27492005.53
cra,2003,17,8,9,125885.53,107685248.05
cra,2004,2713,1449,1264,24074156.93,247945463.76
cra,2005,2525,1357,1168,22332516.75,269929070.03
cra,2006,2655,1273,1382,20669653.14,499010258.47
cra,2007,2532,1228,1304,19863072.70,373055763.64
cra,2008,2121,1151,970,18552387.83,268080126.92
cra,2009,1734,961,773,15463983.79,129473160.15
cra,2010,1843,971,872,15481787.77,325437788.20
cra,2011,1801,1012,789,15947541.32,354572668.57
cra,2012,1126,575,551,9264339.06,136327172.94
cra,2013,923,486,437,7821141.55,91745899.85
cra,2014,855,446,409,7504036.61,72742458.15
cra,2015,501,226,275,3699022.76,51090559.90
cra,2016,936,465,471,7210528.51,123776814.79
cra,2017,684,340,344,5262335.60,91089799.94
cra,2018,346,115,231,1930708.90,52201657.14
crtc,2016,26,18,8,320044.98,3003801.79
crtc,2017,139,90,49,1673959.24,10509627.40
crtc,2018,67,40,27,668823.91,8244293.86
csa,2008,571,257,314,4549992.83,211912555.32
csa,2009,556,291,265,5190248.04,125827023.92
csa,2010,481,244,237,4417230.50,80712109.49
csa,2011,414,209,205,3660167.18,47983653.39
csa,2012,332,167,165,2945958.02,796082792.42
csa,2013,312,166,146,2923278.59,112282950.50
csa,2014,355,155,200,2817598.43,65932978.24
csa,2015,323,154,169,2614027.54,69117371.60
csa,2016,358,157,201,2721275.85,234879891.60
csa,2017,323,159,164,2731887.27,503999485.91
csa,2018,124,63,61,1085934.59,17582785.91
csc,2006,1,0,1,0.00,2075000.00
csc,2007,1,0,1,0.00,344587.00
csc,2008,11,0,11,0.00,11708350.00
csc,2009,56,0,56,0.00,88092823.00
csc,2010,94,0,94,0.00,77319568.00
csc,2011,168,6,162,99135.00,141822597.00
csc,2012,240,20,220,290915.00,146352945.00
csc,2013,1252,652,600,10359005.00,153931168.00
csc,2014,2834,1607,1227,25337632.00,234381780.00
csc,2015,3254,1763,1491,28020034.00,187363618.00
csc,2016,3599,1665,1934,26020669.31,559460142.37
csc,2017,3682,1881,1801,29734965.86,352658468.47
csc,2018,2667,1479,1188,23373935.96,197398397.92
csps,2012,103,65,38,999030.52,4499507.34
csps,2013,157,80,77,1262941.08,6466300.64
csps,2014,153,68,85,1083327.57,7479880.79
csps,2015,110,44,66,712926.07,11179245.49
csps,2016,95,53,42,894445.82,3335902.72
csps,2017,65,43,22,701757.83,1977456.36
csps,2018,76,49,27,794683.15,2244758.56
cta,2015,22,13,9,201866.30,1724290.13
cta,2016,37,21,16,413309.46,1350613.85
cta,2017,55,30,25,546805.30,1675168.50
cta,2018,40,30,10,457458.40,992630.64
dfo,2010,5897,3447,2450,51468651.20,548546164.06
